FAMÍLIA;NOME CIENTÍFICO;NOME POPULAR
Anacardiaceae ;Astronium graveolens ;Guaritá
Anacardiaceae ;Lithrea  molleoides ;Bugreiro
Anacardiaceae ;Myracrodruon urundeuva ;Aroeira-preta
Anacardiaceae ;Schinus molle ;Aroeira salsa
Anacardiaceae ;Schinus terebinthifolius ;Aroeira-mansa
Anacardiaceae ;Spondias cytherea ;Cajamanga
Anacardiaceae ;Tapirira guianensis ;Peito-de-pombo
Annonaceae ;Annona cacans ;Araticum
Annonaceae ;Annona coriacea ;Araticum-boia
Annonaceae ;Annona sylvatica ;Cortiça-amarela
Annonaceae ;Duguetia lanceolata ;Pindaíba
Apocynaceae ;Aspidosperma cylindrocarpon ;Peroba-poca
Apocynaceae ;Aspidosperma parvifolium ;Guatambu
Apocynaceae ;Aspidosperma polyneuron ;Peroba-rosa
Apocynaceae ;Aspidosperma ramiflorum ;Guatambu-amarelo
Apocynaceae ;Hancornia speciosa ;Mangabeira
Apocynaceae ;Rauvolfia sellowii ;Casca-d'anta
Apocynaceae ;Tabernaemontana hystrix ;Leiteiro
Araliaceae ;Dendropanax cuneatum ;Maria-mole
Araliaceae ;Dendropanax monogynum ;Mandioqueiro
Araliaceae ;Schefflera morototonii ;Morototó
Araucariaceae ;Araucaria angustifolia ;Araucária
Arecaceae ;Euterpe edulis ;Palmeira juçara
Arecaceae ;Euterpe oleraceae ;Palmeira açai
Arecaceae ;Roystonea borinquena ;Palmeira-imperial
Arecaceae ;Roystonea regia ;Palmeira real
Arecaceae ;Syagrus oleracea ;Palmeira-gariroba
Arecaceae ;Syagrus romanzoffiana ;Palmeira-jerivá
Asteraceae ;Gochnatia polymorpha ;Cambará
Asteraceae ;Piptocarpha axillares ;Vassourão-branco*
Asteraceae ;Vernonia discolor ;Vassourão-preto
Bignoniaceae ;Cybistax antisyphilitica ;Ipê-verde
Bignoniaceae ;Handroanthus chrysotrichus ;Ipê-amarelo-cascudo
Bignoniaceae ;Handroanthus heptaphyllus ;Ipê-roxo-sete-folhas
Bignoniaceae ;Handroanthus impetiginosus ;Ipê-roxo-de-bola
Bignoniaceae ;Handroanthus ochraceus ;Ipê-amarelo-do-campo
Bignoniaceae ;Handroanthus umbellatus ;Ipê-amarelo-do-brejo
Bignoniaceae ;Handroanthus vellosoi ;Ipê-amarelo-liso
Bignoniaceae ;Jacaranda cuspidifolia ;Jacarandá-caroba
Bignoniaceae ;Jacaranda macrantha ;Caroba
Bignoniaceae ;Jacaranda micrantha ;Jacarandá-carobão
Bignoniaceae ;Jacaranda puberula ;Carobinha
Bignoniaceae ;Tabebuia  rosea ;Ipê rosa
